name,state_postal_abbreviation,description,latitude,longitude,egrid_subregion_abbreviation,climate_division_name
00768,PR,Yauco,18.030715,-66.856181,,
00769,PR,Coamo,18.092813,-66.3611,,
00771,PR,Las Piedras,18.18744,-65.87088,,
00772,PR,Loiza,18.427674,-65.87605,,
00773,PR,Luquillo,18.361344,-65.72133,,
00775,PR,Culebra,18.311149,-65.29257,,
00777,PR,Juncos,18.224088,-65.91316,,
00778,PR,Gurabo,18.258628,-65.97791,,
00780,PR,Coto Laurel,18.068538,-66.55939,,
00782,PR,Comerio,18.223348,-66.2267,,
00783,PR,Corozal,18.304874,-66.32305,,
00784,PR,Guayama,17.984137,-66.12779,,
00785,PR,Guayama,18.018822,-66.795603,,
00786,PR,La Plata,18.128092,-66.268717,,
00791,PR,Humacao,18.147257,-65.82269,,
00792,PR,Humacao,18.138029,-65.788499,,
00794,PR,Barranquitas,18.204294,-66.31058,,
00795,PR,Juana Diaz,18.036253,-66.50289,,
00801,VI,St Thomas,18.322285,-64.963715,,
00802,VI,St Thomas,18.322285,-64.963715,,
00803,VI,St Thomas,18.322285,-64.963715,,
00804,VI,St Thomas,18.322285,-64.963715,,
00805,VI,St Thomas,18.322285,-64.963715,,
00820,VI,Christiansted,17.734211,-64.734694,,
00821,VI,Christiansted,17.734211,-64.734694,,
00822,VI,Christiansted,17.734211,-64.734694,,
00823,VI,Christiansted,17.734211,-64.734694,,
00824,VI,Christiansted,17.734211,-64.734694,,
00830,VI,St John,18.32816,-64.740737,,
00831,VI,St John,18.32816,-64.740737,,
00840,VI,Frederiksted,17.734211,-64.734694,,
00841,VI,Frederiksted,17.734211,-64.734694,,
00850,VI,Kingshill,17.734211,-64.734694,,
00851,VI,Kingshill,17.734211,-64.734694,,
00901,PR,San Juan,18.465426,-66.10786,,
00902,PR,San Juan,18.410462,-66.060533,,
00906,PR,San Juan,18.46454,-66.10079,,
00907,PR,San Juan,18.451131,-66.07798,,
00908,PR,San Juan,18.410462,-66.060533,,
00909,PR,San Juan,18.442282,-66.06764,,
00910,PR,San Juan,18.410462,-66.060533,,
00911,PR,San Juan,18.45009,-66.0577,,
00912,PR,San Juan,18.445946,-66.05928,,
00913,PR,San Juan,18.450907,-66.04256,,
00914,PR,San Juan,18.410462,-66.060533,,
00915,PR,San Juan,18.436995,-66.04888,,
00916,PR,San Juan,18.410462,-66.060533,,
00917,PR,San Juan,18.422263,-66.0513,,
00918,PR,San Juan,18.417668,-66.06494,,
00919,PR,San Juan,18.410462,-66.060533,,
00920,PR,San Juan,18.41242,-66.09069,,
00921,PR,San Juan,18.394019,-66.08633,,
00922,PR,San Juan,18.410462,-66.060533,,
00923,PR,San Juan,18.410681,-66.03806,,
00924,PR,San Juan,18.401917,-66.01194,,
00925,PR,San Juan,18.400006,-66.05028,,
00926,PR,San Juan,18.361363,-66.0562,,
00927,PR,San Juan,18.39184,-66.06867,,
00928,PR,San Juan,18.410462,-66.060533,,
00929,PR,San Juan,18.410462,-66.060533,,
00930,PR,San Juan,18.410462,-66.060533,,
00931,PR,San Juan,18.410462,-66.060533,,
00933,PR,San Juan,18.410462,-66.060533,,
00934,PR,Fort Buchanan,18.413511,-66.12198,,
00935,PR,San Juan,18.410462,-66.060533,,
00936,PR,San Juan,18.410462,-66.060533,,
00937,PR,San Juan,18.410462,-66.060533,,
00938,PR,San Juan,18.410462,-66.060533,,
00939,PR,San Juan,18.410462,-66.060533,,
00940,PR,San Juan,18.410462,-66.060533,,
00949,PR,Toa Baja,18.433173,-66.2042,,
00950,PR,Toa Baja,18.457761,-66.196503,,
00951,PR,Toa Baja,18.457761,-66.196503,,
00952,PR,Sabana Seca,18.429218,-66.18014,,
00953,PR,Toa Alta,18.36802,-66.23414,,
00954,PR,Toa Alta,18.358939,-66.258108,,
00955,PR,San Juan,18.410462,-66.060533,,
00956,PR,Bayamon,18.34216,-66.16643,,
00957,PR,Bayamon,18.369674,-66.18669,,
00958,PR,Bayamon,18.34487,-66.166014,,
00959,PR,Bayamon,18.387063,-66.15943,,
00960,PR,Bayamon,18.34487,-66.166014,,
00961,PR,Bayamon,18.412462,-66.16033,,
00962,PR,Catano,18.437683,-66.13847,,
00963,PR,Catano,18.443217,-66.139293,,
00965,PR,Guaynabo,18.431453,-66.11703,,
00966,PR,Guaynabo,18.398507,-66.11522,,
00968,PR,Guaynabo,18.408479,-66.1025,,
00969,PR,Guaynabo,18.366981,-66.10889,,
00970,PR,Guaynabo,18.359143,-66.112295,,
00971,PR,Guaynabo,18.329688,-66.11876,,
00975,PR,San Juan,18.410462,-66.060533,,
00976,PR,Trujillo Alto,18.346767,-66.00561,,
00977,PR,Trujillo Alto,18.337004,-65.990099,,
00978,PR,St Just,18.337004,-65.990099,,
00979,PR,Carolina,18.431885,-66.0127,,
00981,PR,Carolina,18.410462,-66.060533,,
00982,PR,Carolina,18.409345,-65.99313,,
00983,PR,Carolina,18.414408,-65.97582,,
00984,PR,Carolina,18.393355,-65.972495,,
00985,PR,Carolina,18.374896,-65.94691,,
00986,PR,Carolina,18.393355,-65.972495,,
00987,PR,Carolina,18.372228,-65.96275,,
00988,PR,Carolina,18.393355,-65.972495,,
01001,MA,Agawam,42.07061,-72.62029,NEWE,MA2
01002,MA,Amherst,42.377651,-72.50323,NEWE,MA2
01003,MA,Amherst,42.369562,-72.63599,NEWE,MA2
01004,MA,Amherst,42.384494,-72.513183,NEWE,MA2
01005,MA,Barre,42.412094,-72.10443,NEWE,MA2
01007,MA,Belchertown,42.278424,-72.411,NEWE,MA2
01008,MA,Blandford,42.174313,-72.94828,NEWE,MA1
01009,MA,Bondsville,42.206092,-72.340486,NEWE,MA2
01010,MA,Brimfield,42.126038,-72.20552,NEWE,MA2
01011,MA,Chester,42.271442,-73.01958,NEWE,MA1
01012,MA,Chesterfield,42.390836,-72.84356,NEWE,MA1
01013,MA,Chicopee,42.161492,-72.60316,NEWE,MA2
01014,MA,Chicopee,42.170731,-72.604842,NEWE,MA2
01020,MA,Chicopee,42.175992,-72.57265,NEWE,MA2
01021,MA,Chicopee,42.170731,-72.604842,NEWE,MA2
01022,MA,Chicopee,42.196666,-72.55606,NEWE,MA2
01026,MA,Cummington,42.465041,-72.91813,NEWE,MA1
01027,MA,Easthampton,42.27279,-72.68677,NEWE,MA2
01028,MA,East Longmeadow,42.066795,-72.5102,NEWE,MA2
01029,MA,East Otis,42.175896,-73.04204,NEWE,MA1
01030,MA,Feeding Hills,42.070774,-72.67248,NEWE,MA2
01031,MA,Gilbertville,42.33071,-72.18833,NEWE,MA2
01032,MA,Goshen,42.45792,-72.81551,NEWE,MA1
01033,MA,Granby,42.254563,-72.51831,NEWE,MA2
01034,MA,Granville,42.086224,-72.94464,NEWE,MA1
01035,MA,Hadley,42.35549,-72.5733,NEWE,MA2
01036,MA,Hampden,42.064703,-72.41735,NEWE,MA2
01037,MA,Hardwick,42.374202,-72.19524,NEWE,MA2
01038,MA,Hatfield,42.375155,-72.60832,NEWE,MA2
01039,MA,Haydenville,42.381475,-72.69259,NEWE,MA2
01040,MA,Holyoke,42.201891,-72.6242,NEWE,MA2
01041,MA,Holyoke,42.170731,-72.604842,NEWE,MA2
01050,MA,Huntington,42.290209,-72.87942,NEWE,MA1
01053,MA,Leeds,42.353105,-72.70206,NEWE,MA2
01054,MA,Leverett,42.479839,-72.49879,NEWE,MA2
01056,MA,Ludlow,42.174893,-72.47068,NEWE,MA2
01057,MA,Monson,42.089269,-72.317,NEWE,MA2
01059,MA,North Amherst,42.369562,-72.63599,NEWE,MA2
01060,MA,Northampton,42.324539,-72.63561,NEWE,MA2
01061,MA,Northampton,42.369562,-72.63599,NEWE,MA2
01062,MA,Florence,42.324232,-72.67915,NEWE,MA2
01063,MA,Northampton,42.317939,-72.640234,NEWE,MA2
01066,MA,North Hatfield,42.406697,-72.633901,NEWE,MA2
01068,MA,Oakham,42.349769,-72.04413,NEWE,MA2
01069,MA,Palmer,42.176401,-72.32646,NEWE,MA2
01070,MA,Plainfield,42.515853,-72.91661,NEWE,MA1
01071,MA,Russell,42.165931,-72.85153,NEWE,MA1
01072,MA,Shutesbury,42.486027,-72.42208,NEWE,MA2
01073,MA,Southampton,42.223885,-72.72777,NEWE,MA2
01074,MA,South Barre,42.375998,-72.149388,NEWE,MA2
01075,MA,South Hadley,42.234891,-72.58243,NEWE,MA2
01077,MA,Southwick,42.05283,-72.76966,NEWE,MA1
01079,MA,Thorndike,42.192892,-72.329574,NEWE,MA2
01080,MA,Three Rivers,42.180563,-72.36518,NEWE,MA2
01081,MA,Wales,42.058024,-72.22517,NEWE,MA2
01082,MA,Ware,42.270611,-72.26067,NEWE,MA2
01083,MA,Warren,42.20468,-72.20259,NEWE,MA2
01084,MA,West Chesterfield,42.379807,-72.89043,NEWE,MA1
01085,MA,Westfield,42.133642,-72.75029,NEWE,MA2
01086,MA,Westfield,42.173428,-72.847964,NEWE,MA2
01088,MA,West Hatfield,42.388831,-72.6321,NEWE,MA2
01089,MA,West Springfield,42.112793,-72.64066,NEWE,MA2
01090,MA,West Springfield,42.170731,-72.604842,NEWE,MA2
01092,MA,West Warren,42.210777,-72.23904,NEWE,MA2
01093,MA,Whately,42.442673,-72.652511,NEWE,MA2
01094,MA,Wheelwright,42.358201,-72.140846,NEWE,MA2
01095,MA,Wilbraham,42.12531,-72.44057,NEWE,MA2
01096,MA,Williamsburg,42.415236,-72.78271,NEWE,MA1
01097,MA,Woronoco,42.161743,-72.845912,NEWE,MA1
01098,MA,Worthington,42.399054,-72.93871,NEWE,MA1
01101,MA,Springfield,42.170731,-72.604842,NEWE,MA2
01102,MA,Springfield,42.170731,-72.604842,NEWE,MA2
01103,MA,Springfield,42.103294,-72.59112,NEWE,MA2
01104,MA,Springfield,42.130343,-72.57338,NEWE,MA2
01105,MA,Springfield,42.096644,-72.5798,NEWE,MA2
01106,MA,Longmeadow,42.050395,-72.5712,NEWE,MA2
01107,MA,Springfield,42.120193,-72.6061,NEWE,MA2
01108,MA,Springfield,42.084094,-72.55523,NEWE,MA2
01109,MA,Springfield,42.116277,-72.55031,NEWE,MA2
01111,MA,Springfield,42.170731,-72.604842,NEWE,MA2
01114,MA,Springfield,42.170731,-72.604842,,
01115,MA,Springfield,42.102894,-72.591633,NEWE,MA2
01116,MA,Longmeadow,42.170731,-72.604842,NEWE,MA2
01118,MA,Springfield,42.093144,-72.5291,NEWE,MA2
01119,MA,Springfield,42.128442,-72.50932,NEWE,MA2
01128,MA,Springfield,42.095344,-72.48857,NEWE,MA2
01129,MA,Springfield,42.121031,-72.4896,NEWE,MA2
01133,MA,Springfield,42.170731,-72.604842,,MA2
01138,MA,Springfield,42.170731,-72.604842,NEWE,MA2
01139,MA,Springfield,42.170731,-72.604842,NEWE,MA2
01144,MA,Springfield,42.101796,-72.59151,NEWE,MA2
01151,MA,Indian Orchard,42.153926,-72.50531,NEWE,MA2
01152,MA,Springfield,42.170731,-72.604842,NEWE,MA2
01195,,,,,,MA2
01199,MA,Springfield,42.119943,-72.604983,NEWE,MA2
01201,MA,Pittsfield,42.45384,-73.254,NEWE,MA1
01202,MA,Pittsfield,42.3929,-73.228483,NEWE,MA1
01203,MA,Pittsfield,42.3929,-73.228483,NEWE,MA1
01220,MA,Adams,42.619727,-73.11842,NEWE,MA1
01222,MA,Ashley Falls,42.057496,-73.32177,NEWE,MA1
01223,MA,Becket,42.314449,-73.09335,NEWE,MA1
01224,MA,Berkshire,42.3929,-73.228483,NEWE,MA1
01225,MA,Cheshire,42.551731,-73.1653,NEWE,MA1
01226,MA,Dalton,42.476575,-73.11547,NEWE,MA1
01227,MA,Dalton,42.516145,-73.092852,NEWE,MA1
01229,MA,Glendale,42.279292,-73.343545,NEWE,MA1
01230,MA,Great Barrington,42.189715,-73.35249,NEWE,MA1
01231,MA,Sheffield,42.153001,-73.298131,,
01235,MA,Hinsdale,42.433661,-73.09278,NEWE,MA1
01236,MA,Housatonic,42.266874,-73.36236,NEWE,MA1
01237,MA,Lanesboro,42.557346,-73.24364,NEWE,MA1
01238,MA,Lee,42.299263,-73.2327,NEWE,MA1
01240,MA,Lenox,42.36237,-73.27683,NEWE,MA1
01242,MA,Lenox Dale,42.336557,-73.24599,NEWE,MA1
01243,MA,Middlefield,42.356088,-73.010448,NEWE,MA1
01244,MA,Mill River,42.139104,-73.20312,NEWE,MA1
01245,MA,Monterey,42.180659,-73.20849,NEWE,MA1
01247,MA,North Adams,42.696064,-73.10145,NEWE,MA1
01252,MA,North Egremont,42.198648,-73.446234,NEWE,MA1
01253,MA,Otis,42.198403,-73.10205,NEWE,MA1
01254,MA,Richmond,42.374711,-73.36336,NEWE,MA1
01255,MA,Sandisfield,42.088973,-73.12444,NEWE,MA1
01256,MA,Savoy,42.592506,-73.01123,NEWE,MA1
01257,MA,Sheffield,42.102694,-73.36591,NEWE,MA1
01258,MA,South Egremont,42.103122,-73.45734,NEWE,MA1
01259,MA,Southfield,42.0645,-73.24674,NEWE,MA1
01260,MA,South Lee,42.286586,-73.313274,NEWE,MA1
01262,MA,Stockbridge,42.283216,-73.31423,NEWE,MA1
01263,MA,Stockbridge,42.3929,-73.228483,NEWE,MA1
01264,MA,Tyringham,42.224905,-73.20394,NEWE,MA1
01266,MA,West Stockbridge,42.328535,-73.36407,NEWE,MA1
01267,MA,Williamstown,42.689962,-73.22355,NEWE,MA1
01270,MA,Windsor,42.443726,-73.116127,NEWE,MA1
01301,MA,Greenfield,42.605524,-72.60098,NEWE,MA2
01302,MA,Greenfield,42.522178,-72.624164,NEWE,MA2
01330,MA,Ashfield,42.521131,-72.81116,NEWE,MA1
01331,MA,Athol,42.579931,-72.20836,NEWE,MA2
01337,MA,Bernardston,42.678023,-72.55569,NEWE,MA2
01338,MA,Buckland,42.569498,-72.802,NEWE,MA1
01339,MA,Charlemont,42.626858,-72.87939,NEWE,MA1
01340,MA,Colrain,42.673371,-72.73104,NEWE,MA2
01341,MA,Conway,42.508313,-72.70403,NEWE,MA2
01342,MA,Deerfield,42.542322,-72.6091,NEWE,MA2
01343,MA,Drury,42.642666,-72.986231,NEWE,MA1
01344,MA,Erving,42.607051,-72.41396,NEWE,MA2
01346,MA,Heath,42.669255,-72.80494,NEWE,MA1
01347,MA,Lake Pleasant,42.556558,-72.518104,NEWE,MA2
01349,MA,Turners Falls,42.5737,-72.50525,NEWE,MA2
01350,MA,Monroe Bridge,42.712257,-72.97629,NEWE,MA1
01351,MA,Montague,42.534976,-72.52522,NEWE,MA2
01354,MA,Northfield,42.522178,-72.624164,NEWE,MA2
01355,MA,New Salem,42.485899,-72.33345,NEWE,MA2
01360,MA,Northfield,42.682285,-72.45649,NEWE,MA2
01364,MA,Orange,42.599614,-72.29263,NEWE,MA2
01366,MA,Petersham,42.474718,-72.21226,NEWE,MA2
01367,MA,Rowe,42.694883,-72.90962,NEWE,MA1
01368,MA,Royalston,42.671012,-72.16999,NEWE,MA2
01369,MA,Shattuckville,42.522178,-72.624164,,
01370,MA,Shelburne Falls,42.603447,-72.72754,NEWE,MA2
01373,MA,South Deerfield,42.472734,-72.62452,NEWE,MA2
01374,MA,Charlemont,42.636459,-72.798742,,
01375,MA,Sunderland,42.449978,-72.56302,NEWE,MA2
01376,MA,Turners Falls,42.609425,-72.54438,NEWE,MA2
01378,MA,Warwick,42.667152,-72.32729,NEWE,MA2
01379,MA,Wendell,42.547274,-72.41724,NEWE,MA2
01380,MA,Wendell Depot,42.594455,-72.36314,NEWE,MA2
01393,MA,Whately,42.459814,-72.593626,,
01420,MA,Fitchburg,42.578689,-71.80338,NEWE,MA2
01427,MA,Westborough,42.286575,-71.585753,,
01430,MA,Ashburnham,42.658768,-71.93287,NEWE,MA2
01431,MA,Ashby,42.672005,-71.8137,NEWE,MA2
01432,MA,Ayer,42.549821,-71.59136,NEWE,MA2
01434,MA,,,,NEWE,MA2
01436,MA,Baldwinville,42.608903,-72.08021,NEWE,MA2
01438,MA,East Templeton,42.563367,-72.03498,NEWE,MA2
01440,MA,Gardner,42.575355,-71.99183,NEWE,MA2
01441,MA,Gardner,42.364807,-71.896868,NEWE,MA2
01450,MA,Groton,42.609887,-71.55722,NEWE,MA2
01451,MA,Harvard,42.505928,-71.5888,NEWE,MA2
01452,MA,Hubbardston,42.477515,-71.99654,NEWE,MA2
01453,MA,Leominster,42.526523,-71.75358,NEWE,MA2
01460,MA,Littleton,42.540052,-71.49085,NEWE,MA2
01462,MA,Lunenburg,42.582839,-71.72051,NEWE,MA2
01463,MA,Pepperell,42.665686,-71.5929,NEWE,MA2
01464,MA,Shirley,42.559289,-71.64555,NEWE,MA2
01467,MA,Still River,42.488666,-71.62412,NEWE,MA2
01468,MA,Templeton,42.557796,-72.06824,NEWE,MA2
01469,MA,Townsend,42.658738,-71.69204,NEWE,MA2
01470,MA,Groton,42.446396,-71.459405,,
01471,MA,Groton,42.446396,-71.459405,NEWE,MA2
01472,MA,West Groton,42.446396,-71.459405,NEWE,MA2
01473,MA,Westminster,42.544622,-71.9021,NEWE,MA2
01474,MA,West Townsend,42.669408,-71.74578,NEWE,MA2
01475,MA,Winchendon,42.675441,-72.0467,NEWE,MA2
01477,MA,Winchendon Springs,42.364807,-71.896868,NEWE,MA2
01501,MA,Auburn,42.20361,-71.83843,NEWE,MA2
01503,MA,Berlin,42.380562,-71.62665,NEWE,MA2
